模块,截图文件,截图类型,前置状态,可见对象,硬件状态,截图合格,红框合格,文字合格,复核备注
保存图片,docs/manual-assets/real-workflow/screenshots/028-保存图片.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择存图路径和输入图像｜设置图片命名和子目录｜设置保存条件和压缩选项｜保存节点配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
光源控制器,docs/manual-assets/real-workflow/screenshots/029-光源控制器.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,设备列表与新增入口｜设置光源控制器通信参数,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
全局信号,docs/manual-assets/real-workflow/screenshots/030-全局信号.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,配置视觉准备信号｜配置视觉离线信号｜配置视觉监听信号,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
共享变量,docs/manual-assets/real-workflow/screenshots/031-共享变量.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置共享变量参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
卡尺找圆,docs/manual-assets/real-workflow/screenshots/032-卡尺找圆.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置卡尺找圆关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
卡尺找椭圆,docs/manual-assets/real-workflow/screenshots/033-卡尺找椭圆.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置卡尺找椭圆关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
卡尺找线,docs/manual-assets/real-workflow/screenshots/034-卡尺找线.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置卡尺找线关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
发送AI结果,docs/manual-assets/real-workflow/screenshots/035-发送AI结果.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择通信设备或信号来源｜设置发送AI结果参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
否则,docs/manual-assets/real-workflow/screenshots/036-否则.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置否则参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
四则运算,docs/manual-assets/real-workflow/screenshots/037-四则运算.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置四则运算参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
图像分割,docs/manual-assets/real-workflow/screenshots/038-图像分割.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置图像分割关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
图像旋转,docs/manual-assets/real-workflow/screenshots/039-图像旋转.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置图像旋转关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
图像显示,docs/manual-assets/real-workflow/screenshots/040-图像显示.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,订阅需要显示的图像｜确认图像显示配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
图像源,docs/manual-assets/real-workflow/screenshots/041-图像源.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择相机或本地图像来源｜设置触发、超时和采集参数｜保存图像源配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
图像裁剪,docs/manual-assets/real-workflow/screenshots/042-图像裁剪.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置图像裁剪关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
图像预处理,docs/manual-assets/real-workflow/screenshots/043-图像预处理.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置图像预处理关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
圆检测,docs/manual-assets/real-workflow/screenshots/044-圆检测.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置圆检测关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
多条件判断,docs/manual-assets/real-workflow/screenshots/045-多条件判断.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置多条件判断参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
大模型调用,docs/manual-assets/real-workflow/screenshots/046-大模型调用.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置大模型调用关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
如果,docs/manual-assets/real-workflow/screenshots/047-如果.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置如果参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
定期删除图片,docs/manual-assets/real-workflow/screenshots/048-定期删除图片.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择上游结果或目标目录｜设置定期删除图片参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
导出检测表格,docs/manual-assets/real-workflow/screenshots/049-导出检测表格.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择导出目录和文件名｜选择导出字段和分卷规则｜保存导出配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
延迟执行,docs/manual-assets/real-workflow/screenshots/050-延迟执行.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置延迟执行参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
弹窗,docs/manual-assets/real-workflow/screenshots/051-弹窗.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置弹窗参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
打开光源,docs/manual-assets/real-workflow/screenshots/052-打开光源.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置打开光源参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
找点,docs/manual-assets/real-workflow/screenshots/053-找点.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置找点关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
方案管理,docs/manual-assets/real-workflow/screenshots/054-方案管理.png,真实流程,已打开客户演示方案；已新建客户演示流程；演示流程包含节点和连接线,选择或新建流程｜配置方案流程工作区,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
无监督检测,docs/manual-assets/real-workflow/screenshots/055-无监督检测.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置无监督检测关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
条件运行,docs/manual-assets/real-workflow/screenshots/056-条件运行.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置条件运行参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
检测结果显示,docs/manual-assets/real-workflow/screenshots/057-检测结果显示.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择上游结果或目标目录｜设置检测结果显示参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
检测项配置,docs/manual-assets/real-workflow/screenshots/058-检测项配置.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择检测项文件和刷新列表｜配置检测项名称和规格｜添加、导出并保存检测项,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
模版匹配,docs/manual-assets/real-workflow/screenshots/059-模版匹配.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置模版匹配关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
流程信号,docs/manual-assets/real-workflow/screenshots/060-流程信号.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置流程信号参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
流程画布,docs/manual-assets/real-workflow/screenshots/061-流程画布.png,真实流程,已打开客户演示方案；已新建客户演示流程；演示流程包含节点和连接线,流程标签与新增删除入口｜8个真实节点与8条连接线｜启动循环停止控制｜图像预览区,不依赖硬件,是,是,是,已在客户演示流程中复核，流程画布含8个节点和8条连接线。
流程管理,docs/manual-assets/real-workflow/screenshots/062-流程管理.png,真实流程,已打开客户演示方案；已新建客户演示流程；演示流程包含节点和连接线,流程标签｜新增流程按钮｜删除流程按钮｜8个真实节点与连接线,不依赖硬件,是,是,是,已在客户演示流程中复核，流程画布含8个节点和8条连接线。
点到区域距离,docs/manual-assets/real-workflow/screenshots/063-点到区域距离.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置点到区域距离关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
点到点距离,docs/manual-assets/real-workflow/screenshots/064-点到点距离.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置点到点距离关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
点到线距离,docs/manual-assets/real-workflow/screenshots/065-点到线距离.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置点到线距离关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
用户登录与权限,docs/manual-assets/real-workflow/screenshots/066-用户登录与权限.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择人员角色并输入权限密码｜登录或退出当前角色,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
电池极耳检测,docs/manual-assets/real-workflow/screenshots/067-电池极耳检测.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置电池极耳检测关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
监听全局信号,docs/manual-assets/real-workflow/screenshots/068-监听全局信号.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择通信设备或信号来源｜设置监听全局信号参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
直线检测,docs/manual-assets/real-workflow/screenshots/069-直线检测.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置直线检测关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
相机IO,docs/manual-assets/real-workflow/screenshots/070-相机IO.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置相机IO参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
相机IO手动控制,docs/manual-assets/real-workflow/screenshots/071-相机IO手动控制.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置相机IO手动控制参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
科锐IO模块,docs/manual-assets/real-workflow/screenshots/072-科锐IO模块.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置科锐IO模块参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
等待流程完成,docs/manual-assets/real-workflow/screenshots/073-等待流程完成.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置等待流程完成参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
系统设置,docs/manual-assets/real-workflow/screenshots/074-系统设置.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,设置软件启动方式｜设置默认方案与自动运行｜设置日志记录级别,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
线到线夹角,docs/manual-assets/real-workflow/screenshots/075-线到线夹角.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置线到线夹角关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
线组合拟合,docs/manual-assets/real-workflow/screenshots/076-线组合拟合.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置线组合拟合关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
组合模块,docs/manual-assets/real-workflow/screenshots/077-组合模块.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置组合模块参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
组合输入,docs/manual-assets/real-workflow/screenshots/078-组合输入.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置组合输入参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
组合输出,docs/manual-assets/real-workflow/screenshots/079-组合输出.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置组合输出参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
结束如果,docs/manual-assets/real-workflow/screenshots/080-结束如果.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置结束如果参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
结果汇总,docs/manual-assets/real-workflow/screenshots/081-结果汇总.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择上游结果或目标目录｜设置结果汇总参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
触发同组流程,docs/manual-assets/real-workflow/screenshots/082-触发同组流程.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置触发同组流程参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
运行参数,docs/manual-assets/real-workflow/screenshots/083-运行参数.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,客户演示流程标签｜曝光增益与AI阈值区｜单图批量测试与保存设置｜运行参数字段表,不依赖硬件,是,是,是,已选中客户演示流程标签；当前演示节点未开放动态数据行，界面用于说明运行调参入口与可调字段结构。
运行控制,docs/manual-assets/real-workflow/screenshots/084-运行控制.png,真实流程,已打开客户演示方案；已新建客户演示流程；演示流程包含节点和连接线,节点数量与运行耗时｜启动循环停止按钮｜已建立流程节点与连接线,不依赖硬件,是,是,是,已在客户演示流程中复核，流程画布含8个节点和8条连接线。
运行日志,docs/manual-assets/real-workflow/screenshots/085-运行日志.png,真实流程,已打开客户演示方案；已新建客户演示流程；演示流程包含节点和连接线,从视图菜单打开运行日志｜查看流程运行状态,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
